# Constructed from biom file
#OTU ID	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
460ca3c5eafa6c18ea8ef851714b212c	4011.0	4672.0	9369.0	3200.0	0.0	3723.0	6939.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6601f817d155ea830f090d42976dd7a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5171.0	4329.0	0.0	0.0	0.0	0.0
ce65587c8f64b8b8a53d4a2b4b15832e	1572.0	941.0	1597.0	853.0	0.0	812.0	726.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d8019a16f8dc0d2b18ce08352b9f77d1	0.0	0.0	0.0	0.0	0.0	5512.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cd34499f029c4ac27944004df967fc2a	1360.0	203.0	1501.0	844.0	0.0	862.0	155.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
e9f262509778345753c32916d38f5d86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1604.0	832.0	0.0	2484.0	0.0	0.0
97849d61eb8e25987fe55b3490cc4c55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1124.0	0.0	0.0	727.0	0.0	909.0	1410.0
8ec58d60ae2725b9dd92876a5ee51159	0.0	1910.0	0.0	319.0	351.0	0.0	531.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5b0d85fe661f52b37e1d47451a3ac3bf	0.0	0.0	0.0	0.0	0.0	0.0	0.0	571.0	0.0	0.0	1382.0	0.0	257.0	505.0
01352f1757014fad3c87437ba965ecd4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2466.0	18.0	43.0	50.0	0.0
55b69da40c46ffab6fd8195e057cb37e	0.0	0.0	0.0	0.0	2262.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ae3ce56cf3d95fc55a81297dd14de012	0.0	0.0	0.0	0.0	2219.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f6479de2f0c49ef7d01880dca1c0fc9c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	730.0	308.0	96.0	121.0	169.0	97.0
1f8fa2c7b8dfa7e1201da95a83d3d951	393.0	0.0	416.0	0.0	0.0	450.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
916f0ac44f4f525b679b601ea02c60cd	0.0	0.0	0.0	0.0	0.0	0.0	0.0	269.0	0.0	0.0	137.0	0.0	239.0	538.0
620b09c98613fd18c0a888d4e64687c6	0.0	0.0	0.0	0.0	1107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7973196ff46226d4a2f8e65f4a6fa05e	150.0	48.0	103.0	161.0	20.0	262.0	258.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dc0aedb06146f9ae966c59e4efe55871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	179.0	32.0	67.0	65.0	201.0	376.0	67.0
652a22df7e31f5b397546cd94bfa0064	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	504.0	260.0	131.0	7.0	29.0	30.0
e0f57fc810abebc80f4149172316bd48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	324.0	0.0	6.0	61.0	135.0	83.0	323.0
3f1371cbd86599afd5ed8e87ec0cf999	0.0	0.0	0.0	842.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6e0d5265c4438f9411f1c4e894c21b34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	0.0	313.0	462.0
7eb8b33c97b5658920e95f04495a6c4c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	207.0	113.0	275.0	186.0
b1d16421c3f908b3801a0ce644b5952b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	37.0	0.0	239.0	168.0	139.0	142.0
