function	10BF	11BF	12BF	13BF	15BF	16BF	17BF	2BF	3BF	4BF	6BF	7BF	8BF	9BF
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	8095.27	5770.7	6655.76	11211.91	3707.41	17764.52	6842.62	7948.8	15793.82	15093.04	8129.44	9309.05	10324.65	6546.77
1.1.1.127-RXN	106.2	15.2	0.0	326.6	3.0	5578.04	126.64	487.14	5778.06	4759.54	458.5	895.29	603.4	120.0
1.1.1.136-RXN	1034.83	963.83	1973.1800000000003	715.83	834.5	779.9100000000001	1281.5	353.33000000000004	288.33	181.42	422.33	465.0	411.91	476.84
1.1.1.145-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0
1.1.1.215-RXN	18.0	1.0	0.0	0.0	3.0	28.79	12.64	53.14	1.71	16.29	128.0	354.29	170.01999999999998	90.0
1.1.1.251-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.14	1.71	5.29	0.0	7.29	18.02	0.0
1.1.1.253-RXN	0.0	1.0	0.0	6.0	3.0	15.29	12.64	15.14	1.71	5.29	0.0	7.29	18.02	0.0
1.1.1.261-RXN	189.67	250.0	73.0	59.0	52.33	182.79	205.64	428.14	513.71	296.29	427.0	471.29	622.23	234.0
1.1.1.264-RXN	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	65.0	5.0	51.0	12.0	0.0
1.1.1.271-RXN	7209.83	6337.83	7758.93	5088.08	4707.5	4628.45	4808.14	2583.7200000000003	1748.79	1053.46	2283.08	3705.04	3504.3	4374.59
1.1.1.39-RXN	6557.15	4831.7	5945.47	7136.82	3305.83	4570.57	5255.95	5170.6900000000005	2755.6000000000004	4708.83	5281.33	6229.21	6878.98	5033.97
1.1.1.43-RXN	0.0	1.0	0.0	0.0	3.0	28.79	12.64	15.14	1.71	5.29	0.0	7.29	18.02	0.0
1.1.1.83-RXN	218.2	103.2	96.0	220.6	0.0	32.0	90.0	224.0	26.0	113.0	245.5	647.0	193.76	0.0
1.1.3.41-RXN	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.99.25-RXN	0.0	1.0	0.0	0.0	3.0	28.79	12.64	0.0	0.0	0.0	0.0	0.0	5.76	0.0
1.1.99.28-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	0.0	10.0	8.0	33.0	12.0	0.0
1.12.1.3-RXN	1765.2	687.7	925.37	3312.57	276.0	1167.6	1481.17	4606.5	1850.68	1460.0	5137.6	5547.33	6156.74	2131.32
1.12.5.1-RXN	9.0	0.0	0.0	0.0	0.0	0.0	0.0	68.08	5.13	20.53	0.0	48.87	109.92	64.0
1.13.11.15-RXN	0.0	1.0	0.0	0.0	0.0	1.29	3.14	0.0	0.0	0.0	0.0	0.0	2.88	0.0
1.13.11.16-RXN	0.0	1.0	0.0	0.0	0.0	1.29	3.14	12.0	0.0	4.0	0.0	5.0	2.88	0.0
1.14.11.2-RXN	0.0	73.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.12.18-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	4.0	0.0	5.0	0.0	0.0
1.14.13.59-RXN	0.0	1.0	0.0	0.0	0.0	1.29	3.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.19.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.14	1.71	5.29	0.0	7.29	15.14	0.0
1.15.1.2-RXN	6348.9	4885.53	5842.18	7031.45	3279.08	4592.66	5531.5	4303.08	3186.75	1950.92	5039.0	5210.05	4900.44	4585.97
1.17.1.1-RXN	391.2	120.2	173.0	488.6	20.0	104.79	175.64	632.14	12.71	155.04	507.0	874.29	815.27	333.0
1.18.1.2-RXN	1772.3200000000002	1064.7	853.75	3643.31	430.58	7543.12	1755.81	3419.89	8368.56	9041.29	3677.0	4261.17	4843.55	1767.63
1.2.1.2-RXN	458.7	32.5	126.54	1080.7	68.0	218.16	292.73	642.5	1151.26	695.4	946.67	972.62	1356.98	602.63
1.2.1.27-RXN	83.0	31.0	0.0	42.0	30.0	183.75	9.5	15.0	0.0	53.0	38.0	77.0	18.21	32.0
1.2.1.32-RXN	30.0	31.0	0.0	30.0	27.0	154.0	46.0	147.0	11.0	14.0	127.0	510.0	209.25	0.0
1.2.1.58-RXN	0.0	0.0	0.0	0.0	0.0	8.0	0.0	54.0	43.0	18.0	4.0	24.0	42.0	10.0
1.2.1.66-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.0	0.0
1.2.1.9-RXN	135.0	34.0	5.5	1013.44	12.0	87.62	74.31	84.0	34.0	2533.0	102.0	167.32999999999998	711.6700000000001	9.0
1.2.3.3-RXN	35.2	17.0	63.0	119.6	38.0	416.79	28.64	465.14	223.71	461.29	840.0	1362.09	638.22	334.8
1.2.4.4-RXN	3.5	146.0	0.0	7.5	0.0	40.25	0.0	54.0	287.0	64.0	170.0	114.0	358.0	137.5
1.2.7.4-RXN	382.0	32.0	100.58	654.86	87.0	213.0	118.0	630.5	56.0	90.0	670.64	769.0	1533.5	521.0
