run_accession	sample_accession	sample_alias	experiment_title	sample_title
ERR011062	SAMEA732201	12BF	454 GS FLX Titanium sequencing	
ERR011068	SAMEA732195	17BF	454 GS FLX Titanium sequencing	
ERR011082	SAMEA732180	6EU	454 GS FLX Titanium sequencing	
ERR011084	SAMEA732177	8BF	454 GS FLX Titanium sequencing	
ERR011063	SAMEA732176	12EU	454 GS FLX Titanium sequencing	
ERR011064	SAMEA732193	13BF	454 GS FLX Titanium sequencing	
ERR011066	SAMEA732181	15BF	454 GS FLX Titanium sequencing	
ERR011070	SAMEA732178	18EU	454 GS FLX Titanium sequencing	
ERR011071	SAMEA732189	19EU	454 GS FLX Titanium sequencing	
ERR011072	SAMEA732184	1EU	454 GS FLX Titanium sequencing	
ERR011077	SAMEA732192	3BF	454 GS FLX Titanium sequencing	
ERR011079	SAMEA732179	4BF	454 GS FLX Titanium sequencing	
ERR011083	SAMEA732204	7BF	454 GS FLX Titanium sequencing	
ERR011085	SAMEA732185	8EU	454 GS FLX Titanium sequencing	
ERR011086	SAMEA732203	9BF	454 GS FLX Titanium sequencing	
ERR011058	SAMEA732199	10BF	454 GS FLX Titanium sequencing	
ERR011059	SAMEA732196	10EU	454 GS FLX Titanium sequencing	
ERR011060	SAMEA732197	11BF	454 GS FLX Titanium sequencing	
ERR011061	SAMEA732198	11EU	454 GS FLX Titanium sequencing	
ERR011065	SAMEA732191	13EU	454 GS FLX Titanium sequencing	
ERR011067	SAMEA732186	16BF	454 GS FLX Titanium sequencing	
ERR011069	SAMEA732190	17EU	454 GS FLX Titanium sequencing	
ERR011073	SAMEA732183	20EU	454 GS FLX Titanium sequencing	
ERR011074	SAMEA732194	21EU	454 GS FLX Titanium sequencing	
ERR011075	SAMEA732202	2BF	454 GS FLX Titanium sequencing	
ERR011076	SAMEA732187	2EU	454 GS FLX Titanium sequencing	
ERR011078	SAMEA732182	3EU	454 GS FLX Titanium sequencing	
ERR011080	SAMEA732200	5EU	454 GS FLX Titanium sequencing	
ERR011081	SAMEA732188	6BF	454 GS FLX Titanium sequencing	
