sample-id,absolute-filepath
10BF,/data/data/raw/ERR011058.fastq.gz
11BF,/data/data/raw/ERR011060.fastq.gz
12BF,/data/data/raw/ERR011062.fastq.gz
13BF,/data/data/raw/ERR011064.fastq.gz
15BF,/data/data/raw/ERR011066.fastq.gz
16BF,/data/data/raw/ERR011067.fastq.gz
17BF,/data/data/raw/ERR011068.fastq.gz
2BF,/data/data/raw/ERR011075.fastq.gz
3BF,/data/data/raw/ERR011077.fastq.gz
4BF,/data/data/raw/ERR011079.fastq.gz
6BF,/data/data/raw/ERR011081.fastq.gz
7BF,/data/data/raw/ERR011083.fastq.gz
8BF,/data/data/raw/ERR011084.fastq.gz
9BF,/data/data/raw/ERR011086.fastq.gz
