run_accession	sample_accession	sample_alias	sample_title	country	location
SRR31227933	SAMN43549963	BF054	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227942	SAMN43549955	BF046	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227943	SAMN43549954	BF045	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227944	SAMN43549953	BF044	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227945	SAMN43549952	BF043	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227947	SAMN43550151	BF243	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227951	SAMN43550148	BF240	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227955	SAMN43550144	BF236	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227959	SAMN43550140	BF232	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227962	SAMN43550138	BF230	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227965	SAMN43550135	BF227	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227966	SAMN43550134	BF226	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227967	SAMN43550133	BF225	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227976	SAMN43550125	BF216	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227978	SAMN43550123	BF214	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227979	SAMN43550009	BF100	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227980	SAMN43550008	BF099	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227983	SAMN43550005	BF096	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227985	SAMN43550003	BF094	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227987	SAMN43550001	BF092	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227988	SAMN43550000	BF091	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227990	SAMN43549999	BF090	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227991	SAMN43549998	BF089	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227993	SAMN43549996	BF087	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227997	SAMN43549992	BF083	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31227998	SAMN43549991	BF082	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228000	SAMN43549918	BF009	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228001	SAMN43549989	BF080	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228003	SAMN43549987	BF078	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228004	SAMN43549986	BF077	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228005	SAMN43549985	BF076	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228009	SAMN43549981	BF072	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228010	SAMN43549980	BF071	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228013	SAMN43549949	BF040	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228015	SAMN43550292	BF385	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228016	SAMN43550291	BF384	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228017	SAMN43550290	BF383	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228019	SAMN43550289	BF382	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228020	SAMN43550288	BF381	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228022	SAMN43550286	BF379	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228024	SAMN43550284	BF377	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228027	SAMN43550281	BF374	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228030	SAMN43550279	BF372	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228033	SAMN43550276	BF369	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228036	SAMN43550273	BF366	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228039	SAMN43550270	BF363	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228041	SAMN43550269	BF362	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228043	SAMN43550267	BF360	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228044	SAMN43550266	BF359	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228047	SAMN43550263	BF356	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228052	SAMN43550259	BF352	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228061	SAMN43550250	BF343	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228062	SAMN43549944	BF035	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228063	SAMN43550249	BF342	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228065	SAMN43550247	BF340	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228066	SAMN43550246	BF339	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228071	SAMN43550241	BF334	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228073	SAMN43549943	BF034	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228075	SAMN43550238	BF331	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228076	SAMN43550237	BF330	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228078	SAMN43550235	BF328	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228080	SAMN43550233	BF326	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228088	SAMN43550226	BF319	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228089	SAMN43550225	BF318	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228097	SAMN43550218	BF311	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
SRR31228100	SAMN43550215	BF308	Metagenome or environmental sample from human gut metagenome	Burkina Faso: Nanoro	12.68 N 2.19 W
