run_accession	fastq_bytes	country
SRR31227255	1253414445;1332506044	South Africa: Agincourt
SRR31227258	1161562134;1218695480	South Africa: Agincourt
SRR31227259	1709441166;1793091608	South Africa: Agincourt
SRR31227260	1018495763;1081807574	South Africa: Agincourt
SRR31227265	1128381999;1149459554	South Africa: Agincourt
SRR31227268	1235356273;1305092294	South Africa: Agincourt
SRR31227273	1100686900;1144789527	South Africa: Agincourt
SRR31227278	1089355033;1142256794	South Africa: Agincourt
SRR31227279	1254815697;1319846785	South Africa: Agincourt
SRR31227283	1112086231;1156202174	South Africa: Agincourt
SRR31227285	985747641;1087286132	South Africa: Agincourt
SRR31227286	1200395028;1278585659	South Africa: Agincourt
SRR31227288	1242024041;1310514417	South Africa: Agincourt
SRR31227292	1037099136;1072554867	South Africa: Agincourt
SRR31227294	1080617113;1120727336	South Africa: Agincourt
SRR31227295	1142924856;1174029787	South Africa: Agincourt
SRR31227298	978069100;1013963036	South Africa: Agincourt
SRR31227299	1219686658;1286429132	South Africa: Agincourt
SRR31227306	1249975595;1314724448	South Africa: Agincourt
SRR31227310	1068249191;1100596397	South Africa: Agincourt
SRR31227312	1274615533;1342745447	South Africa: Agincourt
SRR31227313	1279455100;1335955171	South Africa: Agincourt
SRR31227316	1196335906;1278350719	South Africa: Agincourt
SRR31227317	1117196720;1136693396	South Africa: Agincourt
SRR31227325	1182476361;1208156408	South Africa: Agincourt
SRR31227328	1192010330;1259878959	South Africa: Agincourt
SRR31227329	1419459858;1475723062	South Africa: Agincourt
SRR31227330	1182658340;1227442715	South Africa: Agincourt
SRR31227332	1135436137;1179688485	South Africa: Agincourt
SRR31227334	1017088705;1052450912	South Africa: Agincourt
SRR31227338	1251425251;1316963978	South Africa: Agincourt
SRR31227339	1268474456;1348377934	South Africa: Agincourt
SRR31227358	1098775872;1148597901	South Africa: Agincourt
SRR31227359	1265171882;1333524790	South Africa: Agincourt
SRR31227362	1175826719;1223906774	South Africa: Agincourt
SRR31227364	1167013299;1213221261	South Africa: Agincourt
SRR31227366	1059913383;1107543924	South Africa: Agincourt
SRR31227371	1055620219;1100322351	South Africa: Agincourt
SRR31227375	1145849429;1181647717	South Africa: Agincourt
SRR31227376	1108630048;1160891738	South Africa: Agincourt
SRR31227385	648688080;674326331	South Africa: Agincourt
SRR31227387	1064496953;1090105349	South Africa: Agincourt
SRR31227389	1254716825;1318671085	South Africa: Agincourt
SRR31227391	1069452708;1099846288	South Africa: Agincourt
SRR31227394	1086587189;1129208676	South Africa: Agincourt
SRR31227395	1238561504;1306130895	South Africa: Agincourt
SRR31227397	1290873812;1326725843	South Africa: Agincourt
SRR31227399	1013961421;1054348684	South Africa: Agincourt
SRR31227404	764189264;802401575	South Africa: Agincourt
SRR31227406	1241216165;1274676610	South Africa: Agincourt
SRR31227409	1040864831;1115972432	South Africa: Agincourt
SRR31227410	1102101921;1144523660	South Africa: Agincourt
SRR31227413	1099992917;1165141280	South Africa: Agincourt
SRR31227418	1020858036;1086902942	South Africa: Agincourt
SRR31227421	1258727586;1314544481	South Africa: Agincourt
SRR31227425	1335942272;1373890786	South Africa: Agincourt
SRR31227426	1152076020;1178361010	South Africa: Agincourt
SRR31227428	1077796410;1123041344	South Africa: Agincourt
SRR31227431	1182520573;1259434083	South Africa: Agincourt
SRR31227433	1222241773;1288089386	South Africa: Agincourt
SRR31227434	1054675579;1091128125	South Africa: Agincourt
SRR31227435	1066772963;1103688913	South Africa: Agincourt
SRR31227436	993574637;1056829026	South Africa: Agincourt
SRR31227439	916417534;956171119	South Africa: Agincourt
SRR31227442	1398559409;1451791154	South Africa: Agincourt
SRR31227447	1091697892;1145370678	South Africa: Agincourt
SRR31227452	1194587160;1254175686	South Africa: Agincourt
SRR31227455	1106497756;1158424968	South Africa: Agincourt
SRR31227456	1130960223;1173802257	South Africa: Agincourt
SRR31227458	1168245057;1248804894	South Africa: Agincourt
SRR31227459	1150500403;1227172927	South Africa: Agincourt
SRR31227460	1137468107;1170275050	South Africa: Agincourt
SRR31227464	1697757669;1770749712	South Africa: Agincourt
SRR31227465	1043986205;1087487904	South Africa: Agincourt
SRR31227466	1046590684;1122917118	South Africa: Agincourt
SRR31227468	1217314905;1257064381	South Africa: Agincourt
SRR31227476	1276839858;1298937343	South Africa: Agincourt
SRR31227479	1018297625;1088848788	South Africa: Agincourt
SRR31227483	1376227546;1415680985	South Africa: Agincourt
SRR31227485	1093335389;1149296528	South Africa: Agincourt
SRR31227487	1290759281;1371403654	South Africa: Agincourt
SRR31227490	1210497288;1250560715	South Africa: Agincourt
SRR31227496	1062179028;1135453389	South Africa: Agincourt
SRR31227497	1233180293;1310904949	South Africa: Agincourt
SRR31227506	1078134600;1109338508	South Africa: Agincourt
SRR31227508	1062188132;1116640948	South Africa: Agincourt
SRR31227510	1020895959;1067690071	South Africa: Agincourt
SRR31227512	1049369756;1101988252	South Africa: Agincourt
SRR31227513	1058154696;1096738172	South Africa: Agincourt
SRR31227518	1121794832;1168059771	South Africa: Agincourt
SRR31227523	1149256297;1206986534	South Africa: Agincourt
SRR31227526	1153579462;1204233238	South Africa: Agincourt
SRR31227529	1316214113;1346718697	South Africa: Agincourt
SRR31227534	1262278404;1313816129	South Africa: Agincourt
SRR31227544	1160002366;1200925970	South Africa: Agincourt
SRR31227547	1201243623;1251733262	South Africa: Agincourt
SRR31227559	1011126134;1053121714	South Africa: Agincourt
SRR31227562	1239840649;1326767370	South Africa: Agincourt
SRR31227565	1000155291;1042941714	South Africa: Agincourt
SRR31227568	1069601756;1112935838	South Africa: Agincourt
SRR31227571	1042710868;1088092070	South Africa: Agincourt
SRR31227572	994925574;1042045647	South Africa: Agincourt
SRR31227573	1167326712;1239420208	South Africa: Agincourt
SRR31227576	1025122680;1065116183	South Africa: Agincourt
SRR31227577	1093180887;1133342545	South Africa: Agincourt
SRR31227579	1035699910;1096874618	South Africa: Agincourt
SRR31227581	1034295197;1082714091	South Africa: Agincourt
SRR31227583	968090038;1028258723	South Africa: Agincourt
SRR31227584	1101108894;1150699296	South Africa: Agincourt
SRR31227587	1382958486;1422438676	South Africa: Agincourt
SRR31227588	1164184379;1209720845	South Africa: Agincourt
SRR31227593	1322022566;1395670127	South Africa: Agincourt
SRR31227596	956963497;995689395	South Africa: Agincourt
SRR31227597	1155790599;1198200507	South Africa: Agincourt
SRR31227603	1192272209;1258303078	South Africa: Agincourt
SRR31227605	1281465079;1324590697	South Africa: Agincourt
SRR31227607	1128766952;1183884573	South Africa: Agincourt
SRR31227610	1161546576;1211461921	South Africa: Agincourt
SRR31227617	1302204766;1363099841	South Africa: Agincourt
SRR31227619	1099575274;1132707614	South Africa: Agincourt
SRR31227620	1268732113;1324124389	South Africa: Agincourt
SRR31227622	981304153;1013347153	South Africa: Agincourt
SRR31227623	1014169410;1058458548	South Africa: Agincourt
SRR31227626	1107752425;1165663705	South Africa: Agincourt
SRR31227632	990770293;1051765237	South Africa: Agincourt
SRR31227635	1110325572;1146232553	South Africa: Agincourt
SRR31227636	1136850916;1181626013	South Africa: Agincourt
SRR31227642	1171846595;1221599243	South Africa: Agincourt
SRR31227647	1358124097;1411308288	South Africa: Agincourt
SRR31227648	1232802044;1307417295	South Africa: Agincourt
SRR31227650	1013537259;1059668374	South Africa: Agincourt
SRR31227651	1133222430;1192509268	South Africa: Agincourt
SRR31227655	1213702867;1253595683	South Africa: Agincourt
SRR31227658	1210305305;1266686651	South Africa: Agincourt
SRR31227659	1222306251;1285754222	South Africa: Agincourt
SRR31227666	1050370925;1101323761	South Africa: Agincourt
SRR31227670	1128855083;1166014638	South Africa: Agincourt
SRR31227672	1050004332;1141838282	South Africa: Agincourt
SRR31227680	1192330941;1254100799	South Africa: Agincourt
SRR31227681	1258637077;1334798830	South Africa: Agincourt
SRR31227685	1038794586;1082453867	South Africa: Agincourt
SRR31227686	1065800601;1103537636	South Africa: Agincourt
SRR31227688	1021531503;1063905078	South Africa: Agincourt
SRR31227689	1338815715;1396414602	South Africa: Agincourt
SRR31227692	1258394061;1333645074	South Africa: Agincourt
SRR31227693	1219833887;1282626590	South Africa: Agincourt
SRR31227694	1190506958;1241096961	South Africa: Agincourt
SRR31227695	1352687712;1407483340	South Africa: Agincourt
SRR31227698	1203582938;1266916102	South Africa: Agincourt
SRR31227699	1041978634;1067476090	South Africa: Agincourt
SRR31227703	1220985758;1263373181	South Africa: Agincourt
SRR31227705	1076315897;1117694760	South Africa: Agincourt
SRR31227707	979093581;1015290872	South Africa: Agincourt
SRR31227708	1198049891;1242765013	South Africa: Agincourt
SRR31227710	1061610958;1087494108	South Africa: Agincourt
SRR31227711	1067474945;1118744538	South Africa: Agincourt
SRR31227717	956092822;1026726076	South Africa: Agincourt
SRR31227723	1191609322;1253239169	South Africa: Agincourt
SRR31227724	1078152149;1153618944	South Africa: Agincourt
SRR31227725	1089445489;1137000797	South Africa: Agincourt
