run_accession	sample_accession	sample_alias	sample_title	country	location
SRR31227253	SAMN43511025	AG101	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227254	SAMN43511024	AG100	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227264	SAMN43511015	AG091	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227266	SAMN43511013	AG089	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227269	SAMN43511010	AG086	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227271	SAMN43511008	AG084	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227274	SAMN43511426	AG503	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227276	SAMN43510931	AG006	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227282	SAMN43511420	AG497	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227289	SAMN43511414	AG491	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227290	SAMN43511413	AG490	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227293	SAMN43511410	AG487	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227297	SAMN43511406	AG483	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227301	SAMN43511403	AG480	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227303	SAMN43511401	AG478	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227304	SAMN43511400	AG477	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227308	SAMN43511338	AG415	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227309	SAMN43511337	AG414	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227318	SAMN43511329	AG406	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
SRR31227319	SAMN43511328	AG405	Metagenome or environmental sample from human gut metagenome	South Africa: Agincourt	24.82 S 31.26 E
