run_accession	fastq_bytes	fastq_ftp
SRR31227255	1253414445;1332506044	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/055/SRR31227255/SRR31227255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/055/SRR31227255/SRR31227255_2.fastq.gz
SRR31227258	1161562134;1218695480	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/058/SRR31227258/SRR31227258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/058/SRR31227258/SRR31227258_2.fastq.gz
SRR31227259	1709441166;1793091608	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/059/SRR31227259/SRR31227259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/059/SRR31227259/SRR31227259_2.fastq.gz
SRR31227260	1018495763;1081807574	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/060/SRR31227260/SRR31227260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/060/SRR31227260/SRR31227260_2.fastq.gz
SRR31227265	1128381999;1149459554	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/065/SRR31227265/SRR31227265_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/065/SRR31227265/SRR31227265_2.fastq.gz
SRR31227268	1235356273;1305092294	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/068/SRR31227268/SRR31227268_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/068/SRR31227268/SRR31227268_2.fastq.gz
SRR31227273	1100686900;1144789527	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/073/SRR31227273/SRR31227273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/073/SRR31227273/SRR31227273_2.fastq.gz
SRR31227278	1089355033;1142256794	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/078/SRR31227278/SRR31227278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/078/SRR31227278/SRR31227278_2.fastq.gz
SRR31227279	1254815697;1319846785	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/079/SRR31227279/SRR31227279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/079/SRR31227279/SRR31227279_2.fastq.gz
SRR31227283	1112086231;1156202174	ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/083/SRR31227283/SRR31227283_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR312/083/SRR31227283/SRR31227283_2.fastq.gz
