run_accession	sample_accession	sample_alias	sample_title	fastq_ftp
SRR13378549	SAMN17250514	bftm3002	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/049/SRR13378549/SRR13378549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/049/SRR13378549/SRR13378549_2.fastq.gz
SRR13378550	SAMN17250513	bftm3001	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/050/SRR13378550/SRR13378550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/050/SRR13378550/SRR13378550_2.fastq.gz
SRR13378553	SAMN17250510	bftm2901	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/053/SRR13378553/SRR13378553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/053/SRR13378553/SRR13378553_2.fastq.gz
SRR13378566	SAMN17250498	bftm2501	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/066/SRR13378566/SRR13378566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/066/SRR13378566/SRR13378566_2.fastq.gz
SRR13378572	SAMN17250493	bftm2301	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/072/SRR13378572/SRR13378572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/072/SRR13378572/SRR13378572_2.fastq.gz
SRR13378573	SAMN17250492	bftm2204	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/073/SRR13378573/SRR13378573_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/073/SRR13378573/SRR13378573_2.fastq.gz
SRR13378575	SAMN17250490	bftm2202	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13378575/SRR13378575_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/075/SRR13378575/SRR13378575_2.fastq.gz
SRR13378576	SAMN17250489	bftm2201	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13378576/SRR13378576_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/076/SRR13378576/SRR13378576_2.fastq.gz
SRR13378577	SAMN17250488	bftm2104	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/077/SRR13378577/SRR13378577_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/077/SRR13378577/SRR13378577_2.fastq.gz
SRR13378579	SAMN17250433	bftm0301	Metagenome or environmental sample from human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/079/SRR13378579/SRR13378579_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR133/079/SRR13378579/SRR13378579_2.fastq.gz
